,AGE,Bill_Sep,Bill_Aug,Bill_Jul,Bill_Jun,Bill_May,Bill_Apr,Pay_Sep,Pay_Aug,Pay_Jul,Pay_Jun,Pay_May,Pay_Apr
35,30,1211.0,-5.0,-21.0,-37.0,-60.0,-75.0,5.0,16.0,16.0,23.0,32.0,0.0
36,40,7460.0,7253.0,7217.0,6816.0,6956.0,7097.0,321.0,322.0,252.0,256.0,256.0,269.0
37,22,602.0,392.0,443.0,241.0,-1133.0,746.0,60.0,61.0,82.0,0.0,1907.0,25.0
38,25,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
39,31,20.0,363.0,186.0,399.0,719.0,379.0,363.0,0.0,399.0,320.0,381.0,31.0
40,33,8747.0,8852.0,8276.0,25148.0,7839.0,7169.0,400.0,280.0,240.0,7554.0,1120.0,160.0
41,25,2701.0,2680.0,2558.0,2548.0,2589.0,2639.0,120.0,180.0,162.0,100.0,112.0,100.0
42,22,75.0,127.0,240.0,143.0,147.0,178.0,60.0,117.0,40.0,12.0,40.0,20.0
43,37,2380.0,2462.0,2517.0,2571.0,2683.0,2792.0,120.0,120.0,120.0,160.0,160.0,120.0
44,30,757.0,852.0,1037.0,1008.0,1065.0,1168.0,120.0,200.0,0.0,80.0,120.0,0.0
45,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,22,561.0,659.0,632.0,654.0,667.0,0.0,120.0,0.0,670.0,13.0,0.0,0.0
47,46,179.0,121.0,47.0,47.0,0.0,0.0,41.0,47.0,0.0,0.0,0.0,0.0
48,32,896.0,862.0,605.0,1281.0,474.0,475.0,862.0,606.0,987.0,474.0,475.0,330.0
49,24,698.0,739.0,779.0,795.0,819.0,803.0,53.0,53.0,28.0,37.0,36.0,43.0
50,42,1482.0,1447.0,1534.0,1577.0,1546.0,1574.0,0.0,124.0,80.0,0.0,60.0,60.0
51,43,2462.0,2047.0,1753.0,1585.0,1430.0,1330.0,80.0,64.0,60.0,80.0,60.0,40.0
52,49,539.0,315.0,304.0,447.0,142.0,19.0,315.0,304.0,447.0,142.0,19.0,0.0
53,25,1656.0,1670.0,1710.0,1740.0,1777.0,1813.0,52.0,80.0,70.0,70.0,72.0,65.0
54,29,1849.0,1400.0,1257.0,1061.0,842.0,662.0,64.0,69.0,42.0,60.0,80.0,200.0
55,45,76.0,146.0,6.0,0.0,6.0,101.0,146.0,6.0,0.0,6.0,101.0,0.0
56,34,655.0,632.0,338.0,286.0,-27.0,333.0,340.0,60.0,300.0,27.0,360.0,80.0
57,34,7035.0,6938.0,6892.0,6744.0,5288.0,5197.0,323.0,292.0,210.0,193.0,193.0,152.0
58,34,63.0,44.0,31.0,47.0,28.0,57.0,0.0,0.0,28.0,0.0,48.0,0.0
59,29,16005.0,15954.0,16168.0,14408.0,14266.0,14564.0,680.0,601.0,1200.0,480.0,480.0,920.0
60,28,914.0,946.0,755.0,597.0,553.0,623.0,61.0,52.0,40.0,40.0,80.0,80.0
61,39,2832.0,2882.0,2798.0,661.0,564.0,33.0,161.0,84.0,40.0,80.0,120.0,0.0
62,29,999.0,972.0,1064.0,1035.0,1107.0,1131.0,0.0,108.0,0.0,89.0,48.0,0.0
63,46,1149.0,1167.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
64,51,4.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0
65,57,6101.0,5950.0,5763.0,327.0,328.0,317.0,0.0,0.0,329.0,12.0,0.0,40.0
66,56,84.0,168.0,159.0,162.0,168.0,173.0,92.0,0.0,6.0,8.0,8.0,6.0
67,30,12.0,12.0,46.0,91.0,12.0,170.0,12.0,46.0,91.0,12.0,170.0,36.0
68,29,-8.0,-394.0,-394.0,412.0,406.0,293.0,0.0,0.0,806.0,0.0,293.0,556.0
69,22,743.0,688.0,691.0,723.0,448.0,239.0,0.0,48.0,40.0,20.0,40.0,0.0
70,31,31.0,0.0,16.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0
71,29,2331.0,2370.0,2407.0,2345.0,2492.0,2541.0,100.0,100.0,0.0,192.0,96.0,64.0
72,32,363.0,231.0,-27.0,210.0,154.0,126.0,233.0,1.0,364.0,1.0,127.0,56.0
73,37,0.0,0.0,126.0,0.0,94.0,0.0,0.0,126.0,0.0,94.0,0.0,0.0
74,32,122.0,222.0,933.0,172.0,3206.0,1033.0,229.0,938.0,173.0,3222.0,1038.0,81.0
75,24,585.0,689.0,666.0,679.0,693.0,742.0,114.0,0.0,24.0,25.0,60.0,0.0
76,25,1714.0,1489.0,1443.0,385.0,384.0,401.0,70.0,71.0,13.0,20.0,40.0,40.0
77,45,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
78,22,1135.0,1184.0,1213.0,1120.0,1058.0,256.0,67.0,56.0,22.0,120.0,71.0,0.0
79,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,33,6610.0,6311.0,6508.0,2797.0,1171.0,1196.0,256.0,303.0,120.0,38.0,40.0,120.0
81,26,936.0,1112.0,1216.0,1324.0,7200.0,8.0,192.0,136.0,124.0,5876.0,8.0,119.0
82,30,1053.0,1099.0,1124.0,880.0,796.0,791.0,63.0,49.0,26.0,31.0,46.0,0.0
83,44,5264.0,5562.0,5073.0,4177.0,4200.0,3762.0,428.0,0.0,122.0,120.0,128.0,112.0
84,49,1956.0,1915.0,860.0,817.0,774.0,779.0,67.0,52.0,28.0,28.0,34.0,33.0
85,33,5201.0,4312.0,2877.0,4737.0,4736.0,4817.0,176.0,142.0,3200.0,180.0,192.0,180.0
86,45,16.0,47.0,31.0,16.0,16.0,16.0,47.0,0.0,0.0,16.0,16.0,16.0
87,32,153.0,190.0,264.0,344.0,283.0,31.0,46.0,80.0,80.0,0.0,31.0,92.0
88,35,3253.0,4715.0,710.0,53.0,284.0,48.0,1600.0,200.0,53.0,284.0,48.0,84.0
89,44,343.0,332.0,386.0,420.0,493.0,479.0,0.0,66.0,40.0,80.0,0.0,60.0
90,53,5527.0,5631.0,5698.0,5764.0,5885.0,5981.0,252.0,220.0,220.0,220.0,200.0,200.0
91,39,301.0,0.0,159.0,155.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0
92,27,-80.0,222.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.0
93,37,35.0,64.0,34.0,34.0,0.0,0.0,64.0,34.0,34.0,0.0,0.0,309.0
94,23,1826.0,1874.0,1889.0,784.0,768.0,773.0,77.0,52.0,27.0,28.0,33.0,33.0
95,35,3349.0,3440.0,3506.0,1423.0,1238.0,1233.0,145.0,144.0,47.0,44.0,44.0,46.0
96,43,159.0,333.0,136.0,258.0,1055.0,398.0,334.0,136.0,516.0,1080.0,0.0,2759.0
97,27,3440.0,3444.0,3560.0,3591.0,3509.0,1632.0,161.0,400.0,131.0,162.0,68.0,32.0
98,22,749.0,726.0,680.0,526.0,355.0,316.0,56.0,48.0,15.0,11.0,13.0,8.0
99,38,719.0,775.0,782.0,730.0,717.0,6.0,68.0,58.0,25.0,70.0,6.0,0.0
100,32,27.0,408.0,34.0,17.0,4.0,57.0,408.0,34.0,17.0,4.0,57.0,0.0
101,30,-3.0,-12.0,1299.0,1316.0,1343.0,1362.0,9.0,1327.0,47.0,48.0,50.0,200.0
102,63,16883.0,17254.0,19177.0,19483.0,18846.0,18798.0,643.0,2228.0,680.0,0.0,720.0,968.0
103,22,1788.0,1690.0,1534.0,1300.0,939.0,964.0,71.0,54.0,40.0,34.0,40.0,36.0
104,26,2267.0,2208.0,2367.0,2409.0,2218.0,2212.0,0.0,200.0,100.0,0.0,120.0,120.0
105,24,223.0,0.0,0.0,0.0,0.0,1061.0,0.0,0.0,0.0,0.0,1061.0,80.0
106,36,244.0,114.0,131.0,133.0,46.0,46.0,114.0,131.0,133.0,46.0,46.0,41.0
107,52,29.0,91.0,29.0,35.0,46.0,211.0,91.0,29.0,35.0,46.0,211.0,200.0
108,38,6858.0,7135.0,1598.0,4819.0,1765.0,5063.0,436.0,0.0,5346.0,183.0,5354.0,192.0
109,35,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,31,4235.0,4337.0,4224.0,4236.0,4260.0,4292.0,370.0,0.0,144.0,164.0,632.0,0.0
111,47,530.0,589.0,607.0,637.0,667.0,696.0,80.0,40.0,40.0,40.0,40.0,40.0
112,41,5427.0,5541.0,5393.0,5776.0,6087.0,5977.0,260.0,0.0,570.0,594.0,0.0,200.0
113,24,2085.0,2108.0,2179.0,2243.0,2404.0,2389.0,80.0,107.0,123.0,203.0,120.0,81.0
114,41,761.0,772.0,810.0,811.0,812.0,798.0,54.0,52.0,28.0,29.0,29.0,27.0
115,24,728.0,705.0,745.0,853.0,828.0,848.0,0.0,52.0,120.0,0.0,40.0,40.0
116,28,13.0,13.0,13.0,227.0,19.0,13.0,13.0,13.0,227.0,19.0,13.0,21.0
117,26,561.0,620.0,665.0,682.0,705.0,727.0,80.0,68.0,40.0,40.0,40.0,40.0
118,34,786.0,387.0,475.0,314.0,593.0,318.0,387.0,475.0,314.0,593.0,318.0,228.0
119,38,2010.0,2058.0,2121.0,2099.0,52.0,48.0,80.0,120.0,120.0,52.0,48.0,23.0
120,37,1840.0,1839.0,1958.0,1954.0,1973.0,2046.0,40.0,161.0,40.0,56.0,112.0,0.0
121,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,35,12200.0,12450.0,12253.0,10344.0,9860.0,7956.0,521.0,445.0,336.0,344.0,273.0,239.0
124,27,765.0,758.0,772.0,775.0,789.0,625.0,56.0,45.0,24.0,34.0,13.0,0.0
125,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,52,4406.0,3981.0,3958.0,4037.0,4126.0,4200.0,143.0,143.0,144.0,154.0,147.0,151.0
127,36,6549.0,4657.0,3971.0,3831.0,3910.0,3837.0,186.0,108.0,83.0,86.0,89.0,40.0
128,51,134.0,156.0,180.0,214.0,255.0,283.0,40.0,43.0,52.0,60.0,48.0,5.0
129,55,2421.0,2458.0,2290.0,1154.0,1180.0,1062.0,100.0,0.0,48.0,48.0,44.0,60.0
130,23,160.0,226.0,140.0,-1.0,550.0,236.0,226.0,140.0,1.0,551.0,236.0,121.0
131,41,4.0,105.0,132.0,127.0,14.0,69.0,105.0,132.0,0.0,14.0,69.0,37.0
132,34,10138.0,9910.0,9162.0,8838.0,8424.0,7524.0,390.0,382.0,304.0,313.0,290.0,453.0
133,46,9096.0,9149.0,9186.0,9103.0,9111.0,9128.0,328.0,324.0,321.0,327.0,336.0,328.0
134,22,1138.0,1046.0,1068.0,1014.0,704.0,-31.0,80.0,56.0,0.0,20.0,0.0,62.0
135,34,427.0,481.0,547.0,531.0,566.0,556.0,60.0,72.0,0.0,40.0,0.0,13.0
136,27,698.0,774.0,880.0,985.0,1088.0,1209.0,100.0,120.0,120.0,120.0,140.0,200.0
137,33,287.0,320.0,352.0,368.0,176.0,228.0,60.0,60.0,40.0,20.0,80.0,22.0
138,51,30.0,12.0,235.0,0.0,0.0,0.0,12.0,235.0,0.0,0.0,0.0,0.0
139,24,2032.0,2006.0,1983.0,777.0,775.0,760.0,94.0,68.0,40.0,36.0,35.0,85.0
140,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,28,73.0,0.0,33.0,13.0,17.0,17.0,0.0,17.0,13.0,20.0,140.0,33.0
142,23,405.0,433.0,823.0,800.0,795.0,723.0,40.0,400.0,16.0,28.0,32.0,24.0
143,29,486.0,400.0,400.0,400.0,399.0,634.0,400.0,400.0,400.0,399.0,635.0,400.0
144,29,48.0,623.0,14.0,94.0,268.0,14.0,623.0,14.0,94.0,188.0,14.0,13.0
145,28,200.0,237.0,293.0,368.0,425.0,406.0,40.0,60.0,80.0,63.0,44.0,0.0
146,27,771.0,813.0,834.0,702.0,717.0,364.0,66.0,48.0,14.0,14.0,7.0,0.0
147,34,7889.0,7048.0,3723.0,5427.0,5289.0,2395.0,320.0,200.0,2220.0,200.0,200.0,340.0
148,23,367.0,421.0,408.0,396.0,405.0,481.0,66.0,0.0,0.0,15.0,84.0,0.0
149,60,-44.0,-44.0,856.0,0.0,39.0,35.0,0.0,900.0,0.0,39.0,40.0,0.0
150,32,3465.0,3126.0,2733.0,2586.0,2333.0,2210.0,138.0,124.0,200.0,0.0,84.0,104.0
151,25,1698.0,2230.0,1739.0,1643.0,1678.0,1273.0,1200.0,120.0,240.0,320.0,80.0,560.0
152,41,8.0,116.0,40.0,25.0,0.0,0.0,116.0,40.0,25.0,0.0,0.0,0.0
153,56,8351.0,7294.0,5290.0,4071.0,7086.0,6772.0,322.0,268.0,205.0,4000.0,280.0,253.0
154,26,361.0,416.0,457.0,477.0,523.0,568.0,68.0,60.0,40.0,60.0,60.0,60.0
155,34,958.0,1122.0,1283.0,1725.0,1883.0,1948.0,200.0,200.0,475.0,200.0,120.0,220.0
156,37,4217.0,4115.0,3586.0,3638.0,3700.0,3761.0,160.0,130.0,130.0,140.0,142.0,200.0
157,30,7841.0,7846.0,7581.0,6687.0,5879.0,4893.0,292.0,284.0,307.0,248.0,200.0,180.0
158,45,4631.0,4916.0,5194.0,5491.0,5821.0,6164.0,419.0,419.0,443.0,443.0,467.0,419.0
159,57,514.0,494.0,538.0,537.0,548.0,563.0,0.0,64.0,20.0,20.0,24.0,24.0
160,41,974.0,1098.0,1069.0,1127.0,1103.0,1133.0,140.0,0.0,88.0,0.0,48.0,50.0
161,27,16.0,16.0,31.0,9.0,43.0,22.0,16.0,31.0,9.0,35.0,0.0,16.0
162,47,49.0,16.0,16.0,32.0,16.0,17.0,16.0,16.0,32.0,0.0,17.0,15.0
163,34,5649.0,6274.0,6074.0,6112.0,6240.0,6409.0,720.0,0.0,219.0,226.0,272.0,157.0
164,46,846.0,952.0,996.0,1041.0,1066.0,1110.0,120.0,60.0,60.0,40.0,60.0,60.0
165,27,4066.0,4192.0,4194.0,2989.0,3042.0,3090.0,220.0,156.0,120.0,116.0,120.0,112.0
166,50,244.0,605.0,328.0,616.0,192.0,538.0,615.0,328.0,617.0,192.0,538.0,188.0
167,27,4094.0,3874.0,2353.0,1173.0,919.0,-10.0,127.0,0.0,53.0,56.0,0.0,2000.0
168,35,2884.0,2954.0,3021.0,3093.0,3434.0,3532.0,140.0,140.0,146.0,400.0,160.0,0.0
169,22,1122.0,1164.0,1175.0,1109.0,1133.0,1152.0,60.0,58.0,39.0,41.0,51.0,23.0
170,37,1508.0,1336.0,1221.0,1104.0,1054.0,986.0,200.0,80.0,120.0,160.0,120.0,80.0
171,30,28.0,131.0,0.0,174.0,107.0,32.0,132.0,0.0,174.0,107.0,32.0,30.0
172,22,343.0,611.0,466.0,298.0,125.0,309.0,600.0,40.0,6.0,0.0,200.0,400.0
173,24,-28.0,-28.0,-28.0,-116.0,-131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0
174,29,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
175,56,2585.0,2639.0,2691.0,2742.0,2912.0,2854.0,120.0,120.0,120.0,220.0,0.0,0.0
176,30,247.0,4.0,24.0,58.0,77.0,215.0,20.0,20.0,40.0,20.0,140.0,0.0
177,30,1954.0,1912.0,1935.0,1209.0,915.0,894.0,0.0,60.0,40.0,80.0,0.0,80.0
178,22,640.0,505.0,529.0,525.0,561.0,596.0,48.0,48.0,20.0,60.0,60.0,40.0
179,29,3115.0,3272.0,3210.0,2459.0,426.0,459.0,232.0,40.0,24.0,16.0,40.0,0.0
180,37,488.0,1063.0,1013.0,1064.0,1051.0,50.0,600.0,0.0,80.0,0.0,50.0,2637.0
181,35,1984.0,496.0,595.0,695.0,711.0,698.0,500.0,260.0,120.0,80.0,120.0,80.0
182,47,2257.0,4425.0,4414.0,4919.0,4353.0,2803.0,2800.0,1214.0,1200.0,800.0,2087.0,800.0
183,24,2321.0,2316.0,1954.0,759.0,773.0,776.0,100.0,64.0,120.0,40.0,29.0,80.0
184,25,426.0,467.0,523.0,491.0,65.0,65.0,48.0,64.0,24.0,5.0,73.0,0.0
185,38,579.0,558.0,613.0,651.0,635.0,658.0,0.0,64.0,60.0,0.0,40.0,60.0
186,32,105.0,2283.0,211.0,2738.0,555.0,650.0,2283.0,212.0,2738.0,556.0,650.0,1533.0
187,47,7977.0,8118.0,7757.0,7847.0,8006.0,7597.0,329.0,280.0,272.0,285.0,0.0,273.0
188,34,0.0,216.0,411.0,543.0,555.0,585.0,216.0,200.0,140.0,20.0,40.0,80.0
189,31,868.0,843.0,858.0,833.0,809.0,819.0,0.0,40.0,0.0,0.0,30.0,0.0
190,32,2396.0,2486.0,2484.0,2635.0,2415.0,1733.0,401.0,241.0,402.0,201.0,202.0,169.0
191,27,785.0,814.0,867.0,920.0,900.0,915.0,54.0,67.0,80.0,0.0,36.0,34.0
192,29,455.0,8.0,0.0,0.0,689.0,682.0,8.0,0.0,0.0,689.0,14.0,205.0
193,24,587.0,883.0,851.0,408.0,0.0,0.0,1515.0,0.0,8.0,0.0,0.0,0.0
194,36,1912.0,725.0,730.0,-1.0,3.0,26.0,80.0,40.0,80.0,20.0,40.0,800.0
195,24,1447.0,1488.0,1507.0,1538.0,1569.0,1601.0,76.0,56.0,68.0,61.0,64.0,0.0
196,34,0.0,0.0,0.0,5.0,0.0,60.0,0.0,0.0,5.0,0.0,60.0,0.0
197,22,742.0,778.0,763.0,333.0,755.0,770.0,60.0,41.0,22.0,800.0,28.0,40.0
198,34,16.0,6.0,92.0,50.0,48.0,46.0,6.0,92.0,50.0,48.0,46.0,633.0
199,22,1160.0,1170.0,1125.0,1193.0,65.0,0.0,40.0,3.0,69.0,4.0,0.0,0.0
200,38,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,31,1085.0,1092.0,719.0,809.0,1096.0,433.0,1000.0,0.0,120.0,312.0,0.0,100.0
202,26,537.0,720.0,520.0,233.0,540.0,19.0,400.0,520.0,234.0,540.0,19.0,280.0
203,26,4293.0,4423.0,4549.0,4640.0,4765.0,4885.0,200.0,200.0,166.0,200.0,200.0,200.0
204,48,9057.0,9275.0,9368.0,7608.0,6942.0,5860.0,364.0,292.0,232.0,224.0,224.0,164.0
205,43,9.0,814.0,809.0,774.0,778.0,773.0,894.0,52.0,50.0,58.0,138.0,68.0
206,47,16.0,59.0,16.0,16.0,16.0,0.0,59.0,16.0,16.0,16.0,0.0,95.0
207,41,124.0,63.0,14.0,151.0,35.0,0.0,63.0,14.0,151.0,35.0,0.0,17.0
208,24,3265.0,3262.0,3184.0,1982.0,1980.0,1983.0,128.0,120.0,82.0,80.0,72.0,72.0
209,50,355.0,173.0,114.0,68.0,0.0,68.0,174.0,114.0,68.0,0.0,68.0,10.0
210,24,4224.0,4357.0,4461.0,332.0,0.0,3425.0,200.0,202.0,332.0,0.0,3425.0,0.0
211,38,0.0,0.0,10.0,5.0,32.0,49.0,0.0,10.0,0.0,32.0,49.0,385.0
212,43,1530.0,1556.0,1524.0,1448.0,1326.0,1254.0,68.0,60.0,48.0,60.0,60.0,40.0
213,39,1134.0,1124.0,736.0,520.0,309.0,321.0,121.0,92.0,0.0,40.0,80.0,6.0
214,27,11863.0,12133.0,12314.0,19199.0,12206.0,12398.0,520.0,440.0,0.0,419.0,434.0,415.0
215,42,16.0,16.0,16.0,10.0,53.0,31.0,16.0,16.0,10.0,59.0,0.0,0.0
216,36,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0
217,36,3171.0,3140.0,3141.0,3201.0,3049.0,3130.0,124.0,140.0,136.0,120.0,140.0,120.0
218,31,3600.0,3369.0,3172.0,2933.0,2553.0,2528.0,160.0,200.0,120.0,120.0,120.0,358.0
219,38,57.0,182.0,5.0,0.0,0.0,0.0,182.0,5.0,0.0,0.0,0.0,0.0
220,40,4207.0,4619.0,4486.0,4588.0,4714.0,4810.0,480.0,0.0,236.0,200.0,180.0,188.0
221,45,13408.0,13398.0,13421.0,13354.0,13430.0,13205.0,496.0,495.0,485.0,498.0,489.0,467.0
222,35,11665.0,11891.0,8225.0,8633.0,8339.0,8500.0,481.0,360.0,680.0,480.0,382.0,600.0
223,33,3666.0,3761.0,4344.0,2637.0,1752.0,1331.0,402.0,753.0,85.0,83.0,202.0,150.0
224,37,2105.0,2061.0,1968.0,1216.0,1210.0,1198.0,0.0,1.0,60.0,40.0,48.0,1224.0
225,28,5215.0,5248.0,5156.0,5021.0,5091.0,5154.0,261.0,194.0,900.0,193.0,195.0,198.0
226,44,131.0,107.0,75.0,23.0,0.0,0.0,107.0,75.0,23.0,0.0,0.0,0.0
227,37,658.0,660.0,756.0,751.0,746.0,767.0,64.0,120.0,27.0,27.0,33.0,31.0
228,23,1990.0,1938.0,1765.0,850.0,803.0,754.0,96.0,90.0,80.0,28.0,28.0,40.0
229,24,766.0,727.0,689.0,305.0,69.0,0.0,0.0,53.0,20.0,4.0,0.0,128.0
230,24,1403.0,1432.0,1237.0,777.0,415.0,52.0,84.0,80.0,40.0,10.0,40.0,16.0
231,23,809.0,685.0,674.0,675.0,538.0,404.0,0.0,48.0,40.0,0.0,40.0,400.0
232,26,4112.0,0.0,0.0,105.0,1823.0,1862.0,0.0,0.0,105.0,1823.0,70.0,80.0
233,34,5192.0,5255.0,5375.0,5693.0,5605.0,6002.0,200.0,200.0,400.0,0.0,485.0,111.0
234,33,2328.0,1455.0,837.0,828.0,807.0,777.0,60.0,52.0,40.0,29.0,32.0,24.0
235,35,320.0,159.0,274.0,69.0,55.0,798.0,159.0,274.0,69.0,55.0,798.0,97.0
236,27,5096.0,4402.0,2062.0,1775.0,1476.0,1180.0,180.0,70.0,63.0,48.0,43.0,101.0
237,31,58.0,0.0,297.0,36.0,243.0,92.0,0.0,297.0,36.0,243.0,92.0,132.0
238,50,9368.0,9267.0,8586.0,8306.0,8415.0,8588.0,405.0,366.0,320.0,320.0,320.0,309.0
239,41,774.0,868.0,918.0,763.0,656.0,655.0,120.0,80.0,88.0,40.0,120.0,96.0
240,28,860.0,826.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,91.0,0.0
241,39,1887.0,1919.0,1945.0,2032.0,1232.0,635.0,72.0,80.0,120.0,80.0,80.0,80.0
242,27,1066.0,1109.0,1147.0,1120.0,1152.0,1176.0,72.0,70.0,36.0,48.0,48.0,44.0
243,32,126.0,234.0,113.0,0.0,113.0,0.0,113.0,0.0,0.0,113.0,0.0,7.0
244,40,6.0,9.0,6.0,1.0,1.0,3.0,14.0,5.0,0.0,0.0,2.0,2.0
245,40,793.0,816.0,804.0,783.0,0.0,0.0,64.0,88.0,85.0,0.0,0.0,0.0
246,75,2115.0,65.0,61.0,40.0,223.0,32.0,65.0,61.0,40.0,223.0,32.0,47.0
247,27,1511.0,1378.0,1201.0,1213.0,1240.0,1316.0,72.0,72.0,44.0,46.0,97.0,0.0
248,25,1846.0,1831.0,1926.0,2045.0,1578.0,1014.0,100.0,160.0,202.0,3.0,41.0,103.0
249,46,1429.0,616.0,644.0,657.0,671.0,699.0,62.0,51.0,23.0,24.0,40.0,80.0
250,26,2035.0,2059.0,1955.0,1205.0,1181.0,1200.0,68.0,5.0,48.0,80.0,80.0,120.0
251,28,1170.0,1180.0,1166.0,1010.0,880.0,0.0,200.0,50.0,34.0,38.0,0.0,0.0
